Participant,Behavioral_Variable,Wellness_Variable,r,p,N,Included,p_FDR,Significant_raw,Significant_FDR
p09,Steps,stress,,,3,No,,False,False
p09,Exercise_Count,fatigue,,,6,No,,False,False
p09,Exercise_Count,mood,,,6,No,,False,False
p09,Exercise_Count,readiness,,,6,No,,False,False
p09,Exercise_Count,sleep_quality,,,6,No,,False,False
p09,Exercise_Count,stress,,,6,No,,False,False
p09,Exercise_Duration,fatigue,,,6,No,,False,False
p09,Exercise_Duration,mood,,,6,No,,False,False
p09,Exercise_Duration,readiness,,,6,No,,False,False
p09,Exercise_Duration,sleep_quality,,,6,No,,False,False
p09,Exercise_Duration,stress,,,6,No,,False,False
p09,Exercise_Calories,fatigue,,,6,No,,False,False
p09,Exercise_Calories,mood,,,6,No,,False,False
p09,Exercise_Calories,readiness,,,6,No,,False,False
p09,Exercise_Calories,sleep_quality,,,6,No,,False,False
p09,Exercise_Calories,stress,,,6,No,,False,False
p09,Sleep_Hours,fatigue,,,1,No,,False,False
p09,Sleep_Hours,mood,,,1,No,,False,False
p09,Sleep_Hours,readiness,,,1,No,,False,False
p09,Sleep_Hours,sleep_quality,,,1,No,,False,False
p09,Sleep_Hours,stress,,,1,No,,False,False
p09,Sleep_Duration_Score,fatigue,,,5,No,,False,False
p09,Sleep_Duration_Score,mood,,,5,No,,False,False
p09,Sleep_Duration_Score,readiness,,,5,No,,False,False
p09,Sleep_Duration_Score,sleep_quality,,,5,No,,False,False
p09,Sleep_Duration_Score,stress,,,5,No,,False,False
p09,Deep_Sleep_Minutes,fatigue,,,1,No,,False,False
p09,Deep_Sleep_Minutes,mood,,,1,No,,False,False
p09,Deep_Sleep_Minutes,readiness,,,1,No,,False,False
p09,Deep_Sleep_Minutes,sleep_quality,,,1,No,,False,False
p09,Deep_Sleep_Minutes,stress,,,1,No,,False,False
p09,Sleep_Restlessness,fatigue,,,3,No,,False,False
p09,Sleep_Restlessness,mood,,,3,No,,False,False
p09,Sleep_Restlessness,readiness,,,3,No,,False,False
p09,Sleep_Restlessness,sleep_quality,,,3,No,,False,False
p09,Sleep_Restlessness,stress,,,3,No,,False,False
p09,Sleep_Composition,fatigue,,,1,No,,False,False
p09,Sleep_Composition,mood,,,1,No,,False,False
p09,Sleep_Composition,readiness,,,1,No,,False,False
p09,Sleep_Composition,sleep_quality,,,1,No,,False,False
p09,Sleep_Composition,stress,,,1,No,,False,False
p09,Sleep_Revitalization,fatigue,,,3,No,,False,False
p09,Sleep_Revitalization,mood,,,3,No,,False,False
p09,Sleep_Revitalization,readiness,,,3,No,,False,False
p09,Sleep_Revitalization,sleep_quality,,,3,No,,False,False
p09,Sleep_Revitalization,stress,,,3,No,,False,False
p09,Sleep_Score,fatigue,,,3,No,,False,False
p09,Sleep_Score,mood,,,3,No,,False,False
p09,Sleep_Score,readiness,,,3,No,,False,False
p09,Sleep_Score,sleep_quality,,,3,No,,False,False
p09,Sleep_Score,stress,,,3,No,,False,False
p10,Steps,fatigue,,,2,No,,False,False
p10,Steps,mood,,,2,No,,False,False
p10,Steps,readiness,,,2,No,,False,False
p10,Steps,sleep_quality,,,2,No,,False,False
p10,Steps,stress,,,2,No,,False,False
p10,Exercise_Count,fatigue,,,5,No,,False,False
